Step: 332 | Reward: -20.75 | Advantage: -0.018493 | Loss: -2.5712e-07 | Prob: 0.9947 | Log Prob: -0.0053173 | Grad Norm: 5330.5 | Time: 6.6931 | Total Time: 12.365
Step: 336 | Reward: -20.25 | Advantage: -0.01424 | Loss: -1.27e-07 | Prob: 0.99306 | Log Prob: -0.0069637 | Grad Norm: 10147 | Time: 6.8174 | Total Time: 12.479
Step: 340 | Reward: -20.25 | Advantage: -0.026807 | Loss: -6.497e-08 | Prob: 0.99488 | Log Prob: -0.0051356 | Grad Norm: 11430 | Time: 7.1811 | Total Time: 12.598
Step: 344 | Reward: -19.75 | Advantage: -0.002845 | Loss: 6.3028e-08 | Prob: 0.9922 | Log Prob: -0.0078301 | Grad Norm: 9839.4 | Time: 8.3372 | Total Time: 12.737
Step: 348 | Reward: -19.75 | Advantage: -0.014638 | Loss: -1.1364e-08 | Prob: 0.98996 | Log Prob: -0.010094 | Grad Norm: 9917.1 | Time: 7.8153 | Total Time: 12.868
Step: 352 | Reward: -20.5 | Advantage: -0.016902 | Loss: 1.6561e-08 | Prob: 0.98298 | Log Prob: -0.017164 | Grad Norm: 17887 | Time: 7.4147 | Total Time: 12.991
Step: 356 | Reward: -20.25 | Advantage: -0.032404 | Loss: -1.7699e-08 | Prob: 0.98993 | Log Prob: -0.010126 | Grad Norm: 9553.6 | Time: 9.2094 | Total Time: 13.145
Step: 360 | Reward: -20 | Advantage: -0.067139 | Loss: -1.3303e-07 | Prob: 0.98796 | Log Prob: -0.012109 | Grad Norm: 19108 | Time: 8.8011 | Total Time: 13.291
Step: 364 | Reward: -19.5 | Advantage: -0.10431 | Loss: -1.089e-07 | Prob: 0.98718 | Log Prob: -0.012898 | Grad Norm: 27321 | Time: 9.7037 | Total Time: 13.453
Step: 368 | Reward: -20.25 | Advantage: -0.094512 | Loss: 2.1615e-07 | Prob: 0.99503 | Log Prob: -0.0049846 | Grad Norm: 25854 | Time: 8.9273 | Total Time: 13.602
Step: 372 | Reward: -20 | Advantage: -0.12832 | Loss: -1.6329e-07 | Prob: 0.98691 | Log Prob: -0.013176 | Grad Norm: 35213 | Time: 9.3402 | Total Time: 13.758
Step: 376 | Reward: -19.25 | Advantage: -0.151 | Loss: -4.3607e-08 | Prob: 0.98861 | Log Prob: -0.011457 | Grad Norm: 44855 | Time: 9.7724 | Total Time: 13.92
Step: 380 | Reward: -19.75 | Advantage: -0.17745 | Loss: -1.7086e-08 | Prob: 0.98574 | Log Prob: -0.014367 | Grad Norm: 39446 | Time: 8.7495 | Total Time: 14.066
Step: 384 | Reward: -19.25 | Advantage: -0.1859 | Loss: -1.8412e-07 | Prob: 0.99532 | Log Prob: -0.0046888 | Grad Norm: 46178 | Time: 9.6461 | Total Time: 14.227
Step: 388 | Reward: -19.75 | Advantage: -0.21626 | Loss: -1.8595e-08 | Prob: 0.96408 | Log Prob: -0.036584 | Grad Norm: 44515 | Time: 8.7677 | Total Time: 14.373
Step: 392 | Reward: -19.75 | Advantage: -0.14694 | Loss: 6.1558e-08 | Prob: 0.96405 | Log Prob: -0.036615 | Grad Norm: 28393 | Time: 10.103 | Total Time: 14.541
Step: 396 | Reward: -19.75 | Advantage: -0.19617 | Loss: 1.7033e-08 | Prob: 0.98538 | Log Prob: -0.014733 | Grad Norm: 37944 | Time: 10.485 | Total Time: 14.716
Step: 400 | Reward: -20.5 | Advantage: -0.18894 | Loss: -6.5309e-08 | Prob: 0.96452 | Log Prob: -0.036128 | Grad Norm: 30207 | Time: 9.4636 | Total Time: 14.874
Step: 404 | Reward: -19.25 | Advantage: -0.15545 | Loss: 2.4322e-08 | Prob: 0.93671 | Log Prob: -0.065378 | Grad Norm: 24386 | Time: 10.166 | Total Time: 15.043
Step: 408 | Reward: -20 | Advantage: -0.23826 | Loss: -1.9683e-08 | Prob: 0.95175 | Log Prob: -0.049448 | Grad Norm: 32533 | Time: 9.2932 | Total Time: 15.198
Step: 412 | Reward: -19.5 | Advantage: -0.18531 | Loss: 3.6844e-08 | Prob: 0.84958 | Log Prob: -0.16301 | Grad Norm: 27469 | Time: 10.578 | Total Time: 15.375
Step: 416 | Reward: -20 | Advantage: -0.32917 | Loss: -2.0797e-07 | Prob: 0.89218 | Log Prob: -0.11409 | Grad Norm: 36653 | Time: 8.2457 | Total Time: 15.512
Step: 420 | Reward: -20 | Advantage: -0.41356 | Loss: -1.4951e-07 | Prob: 0.87688 | Log Prob: -0.13139 | Grad Norm: 42576 | Time: 7.3428 | Total Time: 15.634
Step: 424 | Reward: -20.75 | Advantage: -0.61482 | Loss: -9.1493e-08 | Prob: 0.77262 | Log Prob: -0.25796 | Grad Norm: 55292 | Time: 7.8484 | Total Time: 15.765
Step: 428 | Reward: -21 | Advantage: -0.96638 | Loss: 3.6756e-08 | Prob: 0.78795 | Log Prob: -0.23832 | Grad Norm: 73371 | Time: 6.2916 | Total Time: 15.87
Step: 432 | Reward: -21 | Advantage: -1.0086 | Loss: 7.2292e-09 | Prob: 0.83425 | Log Prob: -0.18123 | Grad Norm: 70970 | Time: 6.3847 | Total Time: 15.976
Step: 436 | Reward: -21 | Advantage: -1.0858 | Loss: 3.9301e-07 | Prob: 0.60251 | Log Prob: -0.50665 | Grad Norm: 82028 | Time: 6.8546 | Total Time: 16.091
Step: 440 | Reward: -21 | Advantage: -1.112 | Loss: -5.9121e-07 | Prob: 0.62338 | Log Prob: -0.4726 | Grad Norm: 83507 | Time: 6.8877 | Total Time: 16.206
Step: 444 | Reward: -21 | Advantage: -1.087 | Loss: 2.262e-07 | Prob: 0.64765 | Log Prob: -0.4344 | Grad Norm: 76598 | Time: 6.8599 | Total Time: 16.32
Step: 448 | Reward: -21 | Advantage: -0.84633 | Loss: 1.5458e-07 | Prob: 0.92188 | Log Prob: -0.081345 | Grad Norm: 66448 | Time: 6.5798 | Total Time: 16.43
Step: 452 | Reward: -21 | Advantage: -0.93015 | Loss: 1.3616e-07 | Prob: 0.68597 | Log Prob: -0.37693 | Grad Norm: 65716 | Time: 6.1588 | Total Time: 16.532
Step: 456 | Reward: -21 | Advantage: -0.99593 | Loss: -3.2629e-07 | Prob: 0.6852 | Log Prob: -0.37805 | Grad Norm: 68957 | Time: 5.6073 | Total Time: 16.626
Step: 460 | Reward: -21 | Advantage: -0.97239 | Loss: -3.2689e-07 | Prob: 0.67534 | Log Prob: -0.39254 | Grad Norm: 66148 | Time: 5.5583 | Total Time: 16.718
Step: 464 | Reward: -21 | Advantage: -1.0732 | Loss: 2.1804e-07 | Prob: 0.65678 | Log Prob: -0.42041 | Grad Norm: 71506 | Time: 5.4115 | Total Time: 16.808
Step: 468 | Reward: -21 | Advantage: -1.0458 | Loss: -3.2479e-07 | Prob: 0.63295 | Log Prob: -0.45737 | Grad Norm: 64420 | Time: 5.6764 | Total Time: 16.903
Step: 472 | Reward: -21 | Advantage: -1.0286 | Loss: -3.2539e-07 | Prob: 0.60549 | Log Prob: -0.50171 | Grad Norm: 62199 | Time: 5.8741 | Total Time: 17.001
Step: 476 | Reward: -21 | Advantage: -1.1299 | Loss: -3.2659e-07 | Prob: 0.57621 | Log Prob: -0.55128 | Grad Norm: 68449 | Time: 6.2311 | Total Time: 17.105
Step: 480 | Reward: -21 | Advantage: -1.2015 | Loss: -3.2914e-07 | Prob: 0.55335 | Log Prob: -0.59177 | Grad Norm: 68493 | Time: 6.4778 | Total Time: 17.213
Step: 484 | Reward: -21 | Advantage: -1.2579 | Loss: -3.2659e-07 | Prob: 0.53718 | Log Prob: -0.62141 | Grad Norm: 69458 | Time: 6.7181 | Total Time: 17.325
