Using device: cuda
Episode: 3872, Reward: -19.25, Loss: -0.09500320, Time: 21019.46ms
Episode: 3888, Reward: -19.25, Loss: -0.02845655, Time: 20780.72ms
Episode: 3904, Reward: -19.5, Loss: -0.11262466, Time: 20787.53ms
Episode: 3920, Reward: -19.25, Loss: -0.07461755, Time: 20993.14ms
Episode: 3936, Reward: -19.5, Loss: -0.12946084, Time: 20824.30ms
Episode: 3952, Reward: -19.375, Loss: -0.12161729, Time: 20761.57ms
Episode: 3968, Reward: -19.6875, Loss: -0.07517348, Time: 20997.48ms
Episode: 3984, Reward: -20.0, Loss: -0.10989576, Time: 21205.52ms
Episode: 4000, Reward: -19.625, Loss: -0.09409144, Time: 20784.08ms
Episode: 4016, Reward: -19.625, Loss: -0.08620850, Time: 20995.17ms
Episode: 4032, Reward: -19.625, Loss: -0.02238877, Time: 21177.73ms
Episode: 4048, Reward: -19.875, Loss: -0.17158875, Time: 20791.96ms
Episode: 4064, Reward: -19.625, Loss: -0.14486141, Time: 21200.38ms
Episode: 4080, Reward: -19.75, Loss: -0.11407878, Time: 20605.66ms
Episode: 4096, Reward: -19.75, Loss: -0.09158081, Time: 20585.31ms
Episode: 4112, Reward: -20.125, Loss: -0.12711576, Time: 21608.56ms
Episode: 4128, Reward: -19.875, Loss: -0.13803240, Time: 20790.07ms
Episode: 4144, Reward: -19.625, Loss: -0.20298877, Time: 20578.87ms
Episode: 4160, Reward: -20.0625, Loss: -0.12152615, Time: 21195.59ms
Episode: 4176, Reward: -19.8125, Loss: -0.06641135, Time: 21399.10ms
Episode: 4192, Reward: -20.0625, Loss: -0.08413425, Time: 21400.21ms
Episode: 4208, Reward: -19.75, Loss: -0.15804923, Time: 20808.10ms
Episode: 4224, Reward: -19.8125, Loss: -0.14619608, Time: 21154.01ms
Episode: 4240, Reward: -19.9375, Loss: -0.10431193, Time: 20610.09ms
Episode: 4256, Reward: -20.0, Loss: -0.13442749, Time: 21185.62ms
Episode: 4272, Reward: -19.875, Loss: -0.18273494, Time: 21215.46ms
Episode: 4288, Reward: -19.75, Loss: -0.17954333, Time: 20783.36ms
Episode: 4304, Reward: -20.375, Loss: -0.07768200, Time: 21379.03ms
Episode: 4320, Reward: -20.125, Loss: -0.20027617, Time: 21588.83ms
Episode: 4336, Reward: -20.375, Loss: -0.11203723, Time: 21000.17ms
Episode: 4352, Reward: -19.875, Loss: -0.19104652, Time: 21187.47ms
Episode: 4368, Reward: -20.5, Loss: -0.08933994, Time: 21011.21ms
Episode: 4384, Reward: -20.25, Loss: -0.19646842, Time: 20782.15ms
Episode: 4400, Reward: -19.875, Loss: -0.14737235, Time: 21211.48ms
