Episode: 592, Loss: -0.0006261205417104065, Reward: -20.0, Advantage: 2.7615600473041013e-08, Max Prob: 0.5643100142478943, Max Log Prob: -0.5721515417098999
Episode: 596, Loss: 0.010548442602157593, Reward: -20.25, Advantage: -2.692412124360999e-07, Max Prob: 0.5828012228012085, Max Log Prob: -0.5399091243743896
Episode: 600, Loss: -0.00935244932770729, Reward: -20.25, Advantage: -4.8493721038767035e-08, Max Prob: 0.5540645718574524, Max Log Prob: -0.5904740691184998
Episode: 604, Loss: 0.005648037884384394, Reward: -20.0, Advantage: -1.754423237798619e-07, Max Prob: 0.5027971267700195, Max Log Prob: -0.6875685453414917
Episode: 608, Loss: -0.004313507582992315, Reward: -20.75, Advantage: -1.8079475694321445e-07, Max Prob: 0.53629070520401, Max Log Prob: -0.6230788826942444
Episode: 612, Loss: -0.004392628557980061, Reward: -20.5, Advantage: 1.6887724996195175e-07, Max Prob: 0.5308127999305725, Max Log Prob: -0.6333458423614502
Episode: 616, Loss: -0.0046870652586221695, Reward: -19.25, Advantage: -6.066236579727047e-08, Max Prob: 0.5072304606437683, Max Log Prob: -0.6787897944450378
Episode: 620, Loss: -0.013205084018409252, Reward: -20.0, Advantage: -1.066104076130614e-07, Max Prob: 0.5186296701431274, Max Log Prob: -0.6565651893615723
Episode: 624, Loss: -0.016973568126559258, Reward: -20.75, Advantage: -4.8471061830923645e-08, Max Prob: 0.5159180164337158, Max Log Prob: -0.6618074178695679
Episode: 628, Loss: -0.007275504060089588, Reward: -19.0, Advantage: 7.435065896288506e-08, Max Prob: 0.5254021883010864, Max Log Prob: -0.6435912251472473
Episode: 632, Loss: -0.01637446880340576, Reward: -18.25, Advantage: -4.618579652060362e-08, Max Prob: 0.5496015548706055, Max Log Prob: -0.598561704158783
Episode: 636, Loss: -0.0017913272604346275, Reward: -19.5, Advantage: -9.995042660193576e-08, Max Prob: 0.5836637020111084, Max Log Prob: -0.5384303331375122
Episode: 640, Loss: -0.02142433263361454, Reward: -20.25, Advantage: -1.0078750278808002e-07, Max Prob: 0.5160287618637085, Max Log Prob: -0.6615927815437317
