Using device: cuda
Epoch: 133 | Loss: -0.52049 | Reward: -21 | Advantage: -0.7509 | Prob: 0.49951 | LogProg: -0.69316 | Time (s): 37.514 | Total Time (m): 80.187
Epoch: 134 | Loss: -0.50289 | Reward: -20.344 | Advantage: -0.7255 | Prob: 0.49951 | LogProg: -0.69316 | Time (s): 38.918 | Total Time (m): 80.836
Epoch: 135 | Loss: -0.55072 | Reward: -21 | Advantage: -0.79451 | Prob: 0.49951 | LogProg: -0.69316 | Time (s): 32.225 | Total Time (m): 81.373
Epoch: 136 | Loss: -0.45118 | Reward: -19.031 | Advantage: -0.65094 | Prob: 0.49951 | LogProg: -0.69312 | Time (s): 41.55 | Total Time (m): 82.065
Epoch: 137 | Loss: -0.52081 | Reward: -21 | Advantage: -0.7514 | Prob: 0.49951 | LogProg: -0.69312 | Time (s): 38.027 | Total Time (m): 82.699
Epoch: 138 | Loss: -0.50848 | Reward: -20.344 | Advantage: -0.73333 | Prob: 0.49976 | LogProg: -0.69339 | Time (s): 36.765 | Total Time (m): 83.312
Epoch: 139 | Loss: -0.48993 | Reward: -20.344 | Advantage: -0.70657 | Prob: 0.49976 | LogProg: -0.69339 | Time (s): 38.654 | Total Time (m): 83.956
Epoch: 140 | Loss: -0.47659 | Reward: -19.688 | Advantage: -0.68733 | Prob: 0.49976 | LogProg: -0.6934 | Time (s): 35.072 | Total Time (m): 84.541
Epoch: 141 | Loss: -0.46085 | Reward: -20.344 | Advantage: -0.66464 | Prob: 0.49976 | LogProg: -0.69339 | Time (s): 39.558 | Total Time (m): 85.2
Epoch: 142 | Loss: -0.55132 | Reward: -21 | Advantage: -0.79511 | Prob: 0.49976 | LogProg: -0.6934 | Time (s): 32.903 | Total Time (m): 85.748
Epoch: 143 | Loss: -0.43815 | Reward: -18.375 | Advantage: -0.6319 | Prob: 0.49976 | LogProg: -0.69339 | Time (s): 36.794 | Total Time (m): 86.362
Epoch: 144 | Loss: -0.48373 | Reward: -20.344 | Advantage: -0.69763 | Prob: 0.49976 | LogProg: -0.69339 | Time (s): 41.943 | Total Time (m): 87.061
