Using device: cuda
Episode: 2128, Reward: -16.0625, Advantage: -2.6516006219202766e-16, Logits: 0.489990234375, BCE: -0.69287109375, Loss: -0.00004905, Time: 28.95s, Total Time: 59.80m
Episode: 2144, Reward: -16.625, Advantage: -1.164117346208902e-16, Logits: 0.489990234375, BCE: -0.693359375, Loss: 0.00000224, Time: 28.96s, Total Time: 60.28m
Episode: 2160, Reward: -14.9375, Advantage: 1.2584465174416043e-16, Logits: 0.489990234375, BCE: -0.69287109375, Loss: -0.00006789, Time: 26.03s, Total Time: 60.71m
Episode: 2176, Reward: -17.1875, Advantage: -6.251741303714473e-17, Logits: 0.489990234375, BCE: -0.693359375, Loss: 0.00002023, Time: 26.60s, Total Time: 61.16m
Episode: 2192, Reward: -16.375, Advantage: 1.527184613059039e-16, Logits: 0.489990234375, BCE: -0.69287109375, Loss: -0.00005224, Time: 27.97s, Total Time: 61.62m
Episode: 2208, Reward: -15.9375, Advantage: 3.005158658278565e-16, Logits: 0.489990234375, BCE: -0.69287109375, Loss: -0.00020393, Time: 24.35s, Total Time: 62.03m
Episode: 2224, Reward: -15.75, Advantage: 1.1567245125675715e-16, Logits: 0.489990234375, BCE: -0.69287109375, Loss: -0.00032968, Time: 24.04s, Total Time: 62.43m
Episode: 2240, Reward: -16.0625, Advantage: -9.043271182401275e-17, Logits: 0.489990234375, BCE: -0.69287109375, Loss: -0.00025324, Time: 26.00s, Total Time: 62.86m
Episode: 2256, Reward: -15.75, Advantage: -1.530598732978371e-16, Logits: 0.489990234375, BCE: -0.69287109375, Loss: 0.00008061, Time: 26.22s, Total Time: 63.30m
Episode: 2272, Reward: -17.125, Advantage: -2.597706300336531e-16, Logits: 0.489990234375, BCE: -0.693359375, Loss: -0.00012878, Time: 25.98s, Total Time: 63.73m
Episode: 2288, Reward: -16.9375, Advantage: -1.2287905321093965e-16, Logits: 0.489990234375, BCE: -0.693359375, Loss: -0.00007642, Time: 25.97s, Total Time: 64.17m
Episode: 2304, Reward: -14.9375, Advantage: 2.447140802969586e-16, Logits: 0.489990234375, BCE: -0.69287109375, Loss: -0.00006426, Time: 23.73s, Total Time: 64.56m
Episode: 2320, Reward: -16.3125, Advantage: 3.6170161888240395e-17, Logits: 0.48974609375, BCE: -0.6923828125, Loss: 0.00014210, Time: 27.85s, Total Time: 65.03m
Episode: 2336, Reward: -15.125, Advantage: 2.743587788602481e-16, Logits: 0.48974609375, BCE: -0.6923828125, Loss: -0.00021386, Time: 23.58s, Total Time: 65.42m
Episode: 2352, Reward: -15.8125, Advantage: 9.032322912204664e-17, Logits: 0.48974609375, BCE: -0.69189453125, Loss: 0.00014804, Time: 26.21s, Total Time: 65.86m
Episode: 2368, Reward: -15.5, Advantage: -2.349792421051302e-16, Logits: 0.48974609375, BCE: -0.6923828125, Loss: -0.00038193, Time: 25.81s, Total Time: 66.29m
Episode: 2384, Reward: -16.25, Advantage: -2.716273807820771e-16, Logits: 0.489501953125, BCE: -0.6923828125, Loss: -0.00024116, Time: 25.97s, Total Time: 66.72m
Episode: 2400, Reward: -17.0625, Advantage: 1.708035422500241e-16, Logits: 0.489501953125, BCE: -0.69189453125, Loss: 0.00020296, Time: 27.62s, Total Time: 67.18m
Episode: 2416, Reward: -15.75, Advantage: -2.802504722354764e-16, Logits: 0.489501953125, BCE: -0.69287109375, Loss: 0.00096824, Time: 25.59s, Total Time: 67.61m
Episode: 2432, Reward: -14.75, Advantage: 0.0, Logits: 0.4892578125, BCE: -0.69189453125, Loss: 0.00043754, Time: 24.13s, Total Time: 68.01m
Episode: 2448, Reward: -15.8125, Advantage: -5.82058673104451e-17, Logits: 0.4892578125, BCE: -0.69189453125, Loss: -0.00033076, Time: 25.78s, Total Time: 68.44m
